version	releaseDate	bugFixes	newFeatures	breakingChanges
47.1.1	11/30/2022	1	0	0
47.1.0	11/29/2022	1	1	0
47.0.0	11/28/2022	0	0	3
46.2.0	11/27/2022	1	0	0
46.1.0	11/27/2022	1	0	0
46.0.0	11/27/2022	0	0	4
45.0.0	11/24/2022	0	1	0
44.0.1	11/24/2022	1	0	0
44.0.0	11/24/2022	0	2	3
43.1.1	11/22/2022	1	0	0
43.1.0	11/14/2022	0	1	0
43.0.1	11/14/2022	1	0	0
43.0.0	11/12/2022	0	1	1
42.0.0	11/09/2022	0	0	1
41.0.0	11/08/2022	0	0	1
40.0.0	11/05/2022	0	0	1
39.0.0	11/03/2022	0	0	1
38.2.0	11/01/2022	0	1	0
38.1.0	11/01/2022	1	0	0
38.0.0	10/31/2022	0	1	0
37.1.1	10/28/2022	1	0	0
37.1.0	10/28/2022	0	1	0
37.0.0	10/28/2022	0	0	9
36.1.0	10/27/2022	1	1	0
36.0.1	10/24/2022	1	0	0
36.0.0	10/22/2022	0	0	1
35.1.2	10/12/2022	1	0	0
35.1.1	10/12/2022	1	0	0
35.1.0	10/05/2022	0	1	0
35.0.0	10/04/2022	0	0	1
34.2.0	10/03/2022	0	1	0
34.1.0	10/02/2022	0	1	0
34.0.3	9/30/2022	1	0	0
34.0.2	9/30/2022	1	0	0
34.0.1	9/30/2022	1	0	0
34.0.0	9/30/2022	0	1	1
33.1.0	9/29/2022	0	1	0
33.0.0	9/29/2022	0	0	2
32.0.0	9/27/2022	0	1	0
31.5.0	9/9/2022	0	1	0
31.4.1	9/3/2022	1	0	0
31.4.0	9/3/2022	0	1	0
31.3.0	9/3/2022	1	0	0
31.2.0	9/2/2022	0	1	0
31.1.0	9/1/2022	1	1	0
31.0.0	8/31/2022	0	0	1
30.1.1	8/30/2022	0	1	0
30.1.0	8/29/2022	0	1	0
30.0.0	8/29/2022	0	1	2
29.0.0	8/28/2022	0	0	1
28.3.2	8/27/2022	1	0	0
28.3.1	8/27/2022	1	0	0
28.3.0	8/27/2022	0	1	0
28.2.0	8/26/2022	1	0	0
28.1.0	8/26/2022	1	0	0
28.0.0	8/26/2022	0	1	12
27.1.1	8/24/2022	1	0	0
27.1.0	8/24/2022	0	1	0
27.0.1	8/23/2022	1	0	0
27.0.0	8/23/2022	0	1	1
26.1.0	8/23/2022	0	1	1
26.0.0	8/23/2022	0	0	1
25.6.0	8/19/2022	0	1	0
25.5.1	7/22/2022	1	0	0
25.5.0	7/22/2022	1	0	0
25.4.0	7/14/2022	0	1	0
25.3.2	7/14/2022	0	1	0
25.3.1	7/14/2022	1	0	0
25.3.0	7/14/2022	0	1	0
25.2.1	7/01/2022	1	0	0
25.2.0	6/22/2022	0	1	0
25.1.0	6/19/2022	0	1	0
25.0.0	6/15/2022	0	0	1
24.9.0	6/15/2022	1	1	0
24.8.0	6/15/2022	0	1	0
24.7.0	6/13/2022	1	1	0
24.6.0	6/10/2022	0	1	0
24.5.0	6/10/2022	0	1	0
24.4.0	6/08/2022	0	1	0
24.3.1	5/25/2022	1	0	0
24.3.0	2/16/2022	0	2	0
24.2.0	1/18/2022	0	2	0
24.1.1	1/13/2022	2	0	0
24.1.0	1/13/2022	0	1	0
24.0.0	1/11/2022	0	1	2
23.2.0	12/22/2021	2	3	0
23.1.0	12/21/2021	0	1	0
23.0.0	12/09/2021	0	3	0
22.4.0	11/25/2021	0	1	0
22.3.0	08/23/2021	0	2	0
22.2.0	08/23/2021	0	1	0
22.1.0	07/23/2021	1	0	0
22.0.0	07/09/2021	0	2	0
21.4.0	07/08/2021	0	1	0
21.3.0	07/07/2021	0	1	0
21.2.0	07/06/2021	0	0	1
21.0.0	06/21/2021	0	1	1
20.0.0	06/21/2021	0	3	1
19.3.1	06/20/2021	1	1	0
19.3.0	06/20/2021	1	0	0
19.2.0	06/17/2021	0	1	0
19.1.0	06/17/2021	2	0	0
19.0.0	06/17/2021	0	1	0
18.4.0	06/17/2021	1	0	0
18.3.0	06/16/2021	0	1	0
18.2.0	06/16/2021	1	0	0
18.1.1	06/16/2021	1	0	0
18.1.0	06/16/2021	0	1	0
18.0.0	06/15/2021	1	1	0
17.5.0	06/05/2021	1	0	0
17.4.0	06/04/2021	1	1	0
17.3.0	06/03/2021	0	1	0
17.2.2	06/02/2021	1	0	0
17.2.1	05/25/2021	1	0	0
17.2.0	05/25/2021	1	0	0
17.1.0	05/25/2021	0	1	0
17.0.0	05/25/2021	1	1	1
16.2.0	05/24/2021	1	0	0
16.1.0	05/24/2021	0	1	0
16.0.0	05/22/2021	0	0	1
15.0.0	05/21/2021	0	1	0
14.3.0	05/21/2021	1	0	0
14.2.0	05/20/2021	1	0	0
14.1.0	05/20/2021	2	0	0
14.0.0	05/19/2021	0	0	2
13.3.0	05/18/2021	0	1	0
13.2.0	05/18/2021	0	1	0
13.1.0	05/18/2021	0	1	0
13.0.0	05/17/2021	0	2	0
12.1.0	05/14/2021	0	1	0
12.0.0	05/12/2021	1	0	2
11.0.0	05/11/2021	1	2	0
10.0.0	05/10/2021	2	2	2
9.0.0	05/05/2021	2	1	0
8.0.0	04/10/2021	0	1	0
7.0.0	04/03/2021	1	1	1
6.0.0	03/08/2021	0	4	0
5.0.0	02/28/2021	0	1	1
4.2.0	02/22/2021	1	0	0
4.1.0	02/22/2021	0	1	0
