id,isPopular,description,popularity,example,category
stamp,,Expand project template to disk.,0,"stamp
.gitignore
 *.html
readme.scroll
 # Hello world
 <script src=""scripts/nested/hello.js""></script>
scripts/
 nested/
  hello.js
   console.log(""Hello world"")",
stopwatch,,A stopwatch.,0,stopwatch,
strong,,HTML tag.,0,strong Important text,
styles,,Write CSS with Particle Syntax.,0,"styles
.styleTest
 h1
  color blue
div
class styleTest
h1 Hello world",
table,,HTML tag.,0,"table
tr
 th Header 1
 th Header 2
tr
 td Cell 1
 td Cell 2",
tableSearch,,Table search and sort widget.,8,,
tags,,Set tags.,681,tags All,
tbody,,HTML tag.,0,"tbody
tr
 td Cell 1",
td,,HTML tag.,0,td Cell content,
testStrict,,Make catchAllParagraphParser = error.,0,,
textarea,,HTML tag.,0,"textarea
placeholder Enter your message
rows 4",
th,,HTML tag.,0,th Header content,
thanksTo,,Acknowledgements comment. Prints nothing.,0,,
thead,,HTML tag.,0,"thead
tr
 th Header 1",
theScrollButton,,WWS button.,630,,
thinColumn,,A thin column section.,338,,
thinColumns,,Thin columns.,369,,
toStamp,,Print a directory to stamp with configurable filters.,0,,
tr,,HTML tag.,0,"tr
td Cell 1",
ul,,HTML tag.,0,"ul
li A list",
useParserPool,,Load a cached parser pool.,0,,
video,,Play video files.,3,video spirit.mp4,
wideColumn,,A wide column section.,338,,
wideColumns,,Wide columns.,39,,
youtube,,A YouTube video widget.,13,youtube https://www.youtube.com/watch?v=lO8blNtYYBA,
